,company_name,job_title,job_locations,experience,hr_name,founded_in,skills,job_id,avg_employees_count,Image_link
0,Carnera Technologies,Inside Sales ,Work From Home,0-3 Years,Roshni J,2018,"Lead Generation, Sales",270735,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/41552/380364fd59/1607976315702/a57b6564a874c5b5c6c90b89a84abe6e.jpg
2,Carnera Technologies,Social Media ,Work From Home,0-2 Years,Roshni J,2018,"LinkedIn Sales Navigator, SEO, Social Media Marketing",270736,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/41552/380364fd59/1607976315702/a57b6564a874c5b5c6c90b89a84abe6e.jpg
4,Concentrix,Sr. Analyst ,"Bangalore, Gurgaon, Mumbai",2-6 Years,Deeksha Sharma,1983,"Adobe Launch, CSS, HTML, JavaScript",272101,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/1202/6a9310ae40/1547217591253/ba3fa085f70cec097d6646473193a79d.jpg
6,epiFi,Relationship Manager ,Bangalore,2-5 Years,Janaki B,2019,"Corporate Sales, Lead Generation, Sales",270555,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/18012/e75f4a8f6f/WhatsApp_Image_2021-02-17_at_10.52.52_AM/74403e795c7f2942b32dc26776b3c9b1.jpeg
8,Jupiter,Growth Manager ,Mumbai,3-7 Years,Shashwat Shukla,2019,"Digital Marketing, Facebook Marketing, Product Marketing, Retention Management, Social Media Marketing",270071,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/33522/15ef697c6f/1618550470479/4d930bee5486f4f7310522b65f916d78.jpeg
10,Jupiter,Product Marketing ,Bangalore,3-7 Years,Shashwat Shukla,2019,"Clevertap, Google Analytics, Market Research, Marketing Communication, Product Marketing, Tableau",270076,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/33522/15ef697c6f/1618550470479/4d930bee5486f4f7310522b65f916d78.jpeg
12,NxtWave,Corporate Relations Manager ,Hyderabad,0-4 Years,Arifulla Gori Mohammad,2020,"Corporate Sales, Customer Relationship",271146,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/34258/8925dce307/1617286502764/78e2467a99ba8ad08128f56ae1ba2e96.jpeg
14,NxtWave,Head of Sourcing ,Hyderabad,6-10 Years,Arifulla Gori Mohammad,2020,"Campus Recruitment, IT Recruitment, Non IT Recruitment, Recruitment",271149,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/34258/8925dce307/1617286502764/78e2467a99ba8ad08128f56ae1ba2e96.jpeg
16,Powerplay,Key Account Manager ,Bangalore,3-7 Years,Jayashree Nayak,2020,"CRM, Hubspot, Key Account Management, Microsoft Excel, Sales, Salesforce, Stakeholder Management, Zoho CRM",270726,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/27671/1791e2c10b/Icon_white/4522a05d745797a062487fa9d2ee4bcc.png
18,Powerplay,Onboarding Specialist ,Bangalore,3-7 Years,Jayashree Nayak,2020,"Customer Service, Desktop Troubleshooting, Microsoft Excel, SMB",270725,125,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/27671/1791e2c10b/Icon_white/4522a05d745797a062487fa9d2ee4bcc.png
20,Amazon Devices,Content Writer ,Hyderabad,1-4 Years,Maria Joseph,1994,"Content Writing, English Content",267703,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/31045/6925df1797/Smile/f1c10afe72cb9e269f562059b5440c06.jpg
21,Amazon Devices,Content Writer ,Chennai,1-4 Years,Maria Joseph,1994,"Content Writing, English Content",267707,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/31045/6925df1797/Smile/f1c10afe72cb9e269f562059b5440c06.jpg
22,Axis Bank,Sales Manager - Portfolio ,"Amritsar, Chennai, Delhi",2-5 Years,Barkha Arora,1994,"Business Development, Lead Generation, Sales",266323,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/10278/72347777a8/0%20%2834%29/39733849663e028d7ad4347b23c4b2be.jpeg
23,CarDekho,Business Manager ,Mumbai,1-5 Years,Mehak Sharma,2008,"Automobile Loans, Corporate Sales, Loans, Sales",268766,1000,https://instahyre-2.s3-ap-south-1.amazonaws.com/media/CACHE/images/images/profile/base/employer/3314/768cf79bc0/1648035619339/bcac1c251b8bd10042343643c8316ba5.jfif
